country_code,year,PIB,country_name,continent_name,pop_active,pop_total,earth_footprint,IHD,pib_per_capta,measure,energy_value,earth_footprint_continent_mean_on_year,pop_active_continent_mean_on_year,pop_total_continent_mean_on_year,IHD_continent_mean_on_year,pib_per_capta_continent_mean_on_year,energy_value_continent_mean_on_year
ALB,1990,2028553750,Albania,Europe,1422714,3286542,0.8826126960599491,0.645,617.2304355155054,PC_PRYENRGSUPPLY,22.74,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
ARE,1990,50701443748.2975,United Arab Emirates,Asia,918479,1828432,6.237739249413167,0.727,27729.46642166485,PC_PRYENRGSUPPLY,0,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
ARG,1990,141352368714.691,Argentina,South America,13330394,32618651,1.4857318277195142,0.704,4333.482973121451,PC_PRYENRGSUPPLY,7.07,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
ARM,1990,2256838858.42714,Armenia,Europe,1464013,3538171,NA,0.631,637.8546594913417,PC_PRYENRGSUPPLY,1.93,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
ARM,1990,2256838858.42714,Armenia,Asia,1464013,3538171,NA,0.631,637.8546594913417,PC_PRYENRGSUPPLY,1.93,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
ASM,1990,NA,Samoa,Oceania,NA,47347,0.9918441912679831,0.62,NA,NA,NA,1.6413730980372914,NA,3720647.285714286,0.6564285714285715,NA,NA
AUS,1990,310774913428.242,Australia,Oceania,8498097,17065100,3.884935369770041,0.866,18211.139309364844,PC_PRYENRGSUPPLY,5.87,1.6413730980372914,NA,3720647.285714286,0.6564285714285715,NA,NA
AUT,1990,166463386663.439,Austria,Europe,3568280,7677850,2.585965917989206,0.795,21680.989686362587,PC_PRYENRGSUPPLY,20.25,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
BDI,1990,1132101252.51817,Burundi,Africa,2567437,5438957,0.5238472280291502,0.297,208.14675543825226,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
BEL,1990,206430841501.69,Belgium,Europe,3948867,9967379,3.391811770537136,0.806,20710.644343080563,PC_PRYENRGSUPPLY,1,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
BEN,1990,1959965243.76269,Benin,Africa,1954174,4978496,0.527316844961868,0.348,393.6862144235307,PC_PRYENRGSUPPLY,94.15,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
BGD,1990,31598341233.559,Bangladesh,Asia,33853862,103171956,0.2360637515266811,0.387,306.2687038089982,PC_PRYENRGSUPPLY,54.48,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
BGR,1990,20632090909.0909,Bulgaria,Europe,4026264,8718289,2.2781864730622723,0.694,2366.5298212861376,PC_PRYENRGSUPPLY,1.18,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
BHR,1990,4229787234.04255,Bahrain,Asia,217020,495931,4.453671066307038,0.746,8528.983334460943,PC_PRYENRGSUPPLY,0,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
BLZ,1990,412086445.492177,Belize,North America,61976,187552,NA,0.644,2197.185023311812,NA,NA,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
BOL,1990,4867582620.20708,Bolivia,South America,2834036,6864842,1.0021119892159889,0.536,709.0596724887594,PC_PRYENRGSUPPLY,32.77,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
BRA,1990,461951782000,Brazil,South America,60074663,149003223,1.3983011731819486,0.611,3100.2804684298676,PC_PRYENRGSUPPLY,46.74,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
BRB,1990,2023318251.8769,Barbados,North America,136800,260936,1.84158555822151,0.716,7754.078593512969,NA,NA,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
BRN,1990,3520551724.13793,Brunei Darussalam,Asia,110093,258721,1.8993003109524453,0.782,13607.522095763119,PC_PRYENRGSUPPLY,0.13,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
BWA,1990,3790567051.86778,Botswana,Africa,430556,1286756,1.3897904935441865,0.581,2945.8320395380165,PC_PRYENRGSUPPLY,34.57,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
CAF,1990,1440711395.67069,Central African Republic,Africa,1152638,2806734,0.7859925053411053,0.317,513.3052849577801,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
CAN,1990,593929550908.468,Canada,North America,14664795,27691138,4.322687482386403,0.849,21448.361960005688,PC_PRYENRGSUPPLY,17.19,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
CHE,1990,258066552980.132,Switzerland,Europe,3812103,6715519,3.1298460249179225,0.832,38428.38550231665,PC_PRYENRGSUPPLY,14.91,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
CHL,1990,33113887817.9731,Chile,South America,5099786,13274623,1.4186051432628066,0.701,2494.525668862543,PC_PRYENRGSUPPLY,27.84,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
CHN,1990,360857912565.966,China,Asia,641482846,1135185000,0.7394749504743549,0.502,317.88467304092813,PC_PRYENRGSUPPLY,24.27,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
CIV,1990,10795850106.9547,Cote d'Ivoire,Africa,4400902,11924877,NA,0.388,905.3217158512159,PC_PRYENRGSUPPLY,75.71,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
CMR,1990,11151578050.7356,Cameroon,Africa,5218676,11780088,0.5061888136703534,0.44,946.6464130603778,PC_PRYENRGSUPPLY,81.29,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
COD,1990,9349764580.36997,Congo,Africa,13499246,34612023,0.4140273732881108,0.536,270.1305433770794,PC_PRYENRGSUPPLY,88.84,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
COL,1990,47844090709.9908,Colombia,South America,14182279,33102575,0.9898669267180933,0.592,1445.3283682611036,PC_PRYENRGSUPPLY,32.55,1.2535219362988823,10778954.909090908,26806842.818181816,0.622,2013.1126470431532,NA
CRI,1990,5711687786.75989,Costa Rica,North America,1173811,3119433,1.0836646067571458,0.656,1831.0019118089376,PC_PRYENRGSUPPLY,40.65,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
CUB,1990,28645436569.1489,Cuba,North America,4107182,10596987,1.2704730477735924,0.676,2703.1680390991232,PC_PRYENRGSUPPLY,38.31,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
CYP,1990,5591130217.66965,Cyprus,Europe,342048,766615,2.1091824853555625,0.732,7293.27004776798,PC_PRYENRGSUPPLY,0.45,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
CYP,1990,5591130217.66965,Cyprus,Asia,342048,766615,2.1091824853555625,0.732,7293.27004776798,PC_PRYENRGSUPPLY,0.45,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
CZE,1990,40477403219.5176,Czech Republic,Europe,4944650,10333355,NA,0.73,3917.1598401020387,PC_PRYENRGSUPPLY,1.85,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
DEU,1990,1764967948916.6,Germany,Europe,38891771,79433029,3.3355526678939578,0.801,22219.572527148626,PC_PRYENRGSUPPLY,1.51,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
DNK,1990,138247285815.855,Denmark,Europe,2871357,5140939,4.263792638874602,0.799,26891.44644895709,PC_PRYENRGSUPPLY,5.94,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
DOM,1990,7073675544.80847,Dominican Republic,North America,2442928,7133494,0.5496929463361174,0.598,991.6144241249057,PC_PRYENRGSUPPLY,23.54,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
DZA,1990,62045099642.7774,Algeria,Africa,6446601,25758869,0.672162613946366,0.577,2408.6888148224753,PC_PRYENRGSUPPLY,0.1,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
